id,transaction_date,type,category_id,contact_id,property_id,event_id,egg_sale_id,inventory_movement_id,description,amount,payment_method,reference_number,notes,created_at,etims_invoice_id
385,2024-07-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),14112,M-Pesa,S0SS4ZYAC2,Biweekly feed purchase,2024-07-19T15:51:00,
386,2024-07-19,expense,7,7,,10,,,Casual cleaning — pre-event deep clean,1500,M-Pesa,S5SGVIYCTE,,2024-07-19T15:58:00,
387,2024-07-19,expense,9,11,,,,,Transport — supply run to town,1500,Cash,,,2024-07-19T17:36:00,
388,2024-07-19,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-07-19T17:37:00,
389,2024-07-20,expense,6,5,,10,,,Casual security — event day,1500,Cash,,,2024-07-20T08:27:00,
390,2024-07-20,expense,8,9,,,,,Gutter cleaning,3000,Cash,,Day hire fundi,2024-07-20T09:55:00,
391,2024-07-20,expense,10,12,,10,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-07-20T12:08:00,
392,2024-07-20,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-07-20T13:43:00,
393,2024-07-20,expense,10,12,,10,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-07-20T16:01:00,
394,2024-07-20,income,2,40,,10,,,Event balance — Memorial Service,30000,M-Pesa,S4PRDCAO4K,Balance payment on event day,2024-07-20T16:35:00,87
395,2024-07-21,expense,7,7,,10,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SLSIWGQP95,,2024-07-21T11:14:00,
396,2024-07-21,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",4000,M-Pesa,SJ6L1SFPHN,,2024-07-21T15:33:00,
397,2024-07-22,expense,15,3,4,,,,Flower bed maintenance,3000,M-Pesa,SFH3W1P6HS,Groundskeeper + occasional casual help,2024-07-22T12:41:00,
398,2024-07-23,income,4,40,5,,45,,Egg sales — 2 trays,660,M-Pesa,SQ1TX7DZ44,,2024-07-23T09:13:00,89
399,2024-07-23,expense,15,3,4,,,,Hedge trimming,3500,M-Pesa,S4JPBW4PD7,Groundskeeper + occasional casual help,2024-07-23T11:35:00,
400,2024-07-23,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-07-23T14:40:00,
401,2024-07-24,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,S9KWOV1E1X,Weekly clean,2024-07-24T11:59:00,
402,2024-07-25,expense,15,3,4,,,,Garden weeding and mulching,4000,Cash,,Groundskeeper + occasional casual help,2024-07-25T09:17:00,
403,2024-07-25,savings,28,1,,,,,Savings — Large Events Tent Fund set-aside (2024-07),10000,Bank Transfer,BT5450949,Monthly contribution to tent fund,2024-07-25T11:15:00,
404,2024-07-25,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,SHIVV2V4XA,Day hire guard,2024-07-25T11:28:00,
405,2024-07-26,income,4,41,5,,46,,Egg sales — 8 trays,2680,M-Pesa,SRLC6PLPKG,,2024-07-26T10:53:00,90
406,2024-07-26,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",2500,M-Pesa,SG1WRA8NSC,,2024-07-26T15:44:00,
407,2024-07-27,savings,27,1,,,,,Savings — Generator Fund set-aside (2024-07),15000,Bank Transfer,BT3536382,Monthly contribution to generator fund,2024-07-27T14:22:00,
408,2024-07-28,expense,9,11,,,,,Transport — egg delivery to buyer,1500,M-Pesa,SRK19IGQCM,,2024-07-28T08:05:00,
409,2024-07-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-07,35000,Bank Transfer,BT5985204,Monthly salary,2024-07-28T12:34:00,
410,2024-07-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-07,12000,Bank Transfer,BT4060282,Part-time monthly pay,2024-07-28T13:53:00,
411,2024-07-28,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,SKA8S2WCML,Day hire guard,2024-07-28T16:51:00,
412,2024-07-29,expense,15,3,4,,,,Flower bed maintenance,4000,Cash,,Groundskeeper + occasional casual help,2024-07-29T09:48:00,
413,2024-07-29,income,2,41,,11,,,Event deposit — Wedding (2024-08-10),60000,Bank Transfer,BT5575587,50% deposit received,2024-07-29T14:26:00,91
414,2024-07-30,income,4,40,5,,47,,Egg sales — 1 trays,345,M-Pesa,SA1D3KN1CO,,2024-07-30T15:51:00,92
415,2024-08-02,income,4,40,5,,48,,Egg sales — 3 trays,1020,M-Pesa,SUJMAU92R6,,2024-08-02T09:45:00,93
416,2024-08-02,income,4,39,5,,49,,Egg sales — 2 trays,680,M-Pesa,SV16R4ZAMD,,2024-08-02T13:02:00,94
417,2024-08-02,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-08-02T13:24:00,
418,2024-08-02,expense,15,3,4,,,,Garden weeding and mulching,5000,Cash,,Groundskeeper + occasional casual help,2024-08-02T16:51:00,
419,2024-08-03,income,4,41,5,,50,,Egg sales — 4 trays,1400,M-Pesa,ST22AS4XPT,,2024-08-03T13:43:00,96
420,2024-08-03,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-08-03T14:36:00,
421,2024-08-03,income,3,35,1,,,,Wellness service — sound healing,10000,Bank Transfer,BT8446433,,2024-08-03T17:28:00,97
422,2024-08-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),15526,M-Pesa,SA7HE15CRP,Biweekly feed purchase,2024-08-05T08:23:00,
423,2024-08-05,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3500,M-Pesa,S2HYKWW7UG,,2024-08-05T10:17:00,
424,2024-08-06,income,4,40,5,,51,,Egg sales — 1 trays,350,Cash,,,2024-08-06T08:21:00,98
425,2024-08-06,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-08-06T14:44:00,
426,2024-08-07,expense,21,,,11,,,"Event supplies — Wedding (flowers, decor, consumables)",16552,Cash,,,2024-08-07T14:04:00,
427,2024-08-07,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SO0DY4S7QI,Weekly clean,2024-08-07T16:34:00,
428,2024-08-09,expense,9,11,,11,,,Casual transport — event equipment/supply delivery,1500,Cash,,,2024-08-09T09:13:00,
429,2024-08-09,expense,10,12,,11,,,Casual labour — event setup,1500,M-Pesa,SJ3OG9W9F7,"Setting up chairs, tables, decor",2024-08-09T09:27:00,
430,2024-08-09,income,4,39,5,,52,,Egg sales — 1 trays,350,M-Pesa,SL9UPWKY2V,,2024-08-09T10:57:00,99
431,2024-08-09,expense,6,6,,11,,,Casual security — event eve setup watch,1500,M-Pesa,S2ZVXQO5U1,,2024-08-09T11:39:00,
432,2024-08-09,expense,10,13,,11,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-08-09T16:41:00,
433,2024-08-09,expense,7,7,,11,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-08-09T17:05:00,
434,2024-08-10,expense,10,13,,11,,,Casual labour — event day assistance,1500,M-Pesa,SVP78E1CF1,"Serving, logistics, teardown",2024-08-10T11:10:00,
435,2024-08-10,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-08-10T11:52:00,
436,2024-08-10,expense,10,13,,11,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-08-10T13:47:00,
437,2024-08-10,income,2,41,,11,,,Event balance — Wedding,60000,Bank Transfer,BT9138561,Balance payment on event day,2024-08-10T14:01:00,100
438,2024-08-10,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SVANOBWO9T,Weekly clean,2024-08-10T15:54:00,
439,2024-08-10,expense,6,4,,11,,,Casual security — event day,1500,M-Pesa,SWFYSAILJQ,,2024-08-10T17:33:00,
440,2024-08-11,expense,7,8,,11,,,Casual cleaning — post-event cleanup,1500,Cash,,,2024-08-11T08:37:00,
441,2024-08-12,expense,22,15,,,,125,Inventory restock — Cups & Saucers,1000,M-Pesa,S338JQVWC5,Replacing broken/worn stock,2024-08-12T12:38:00,
442,2024-08-12,expense,22,15,,,,126,Inventory restock — Drinking Glasses,840,M-Pesa,SHP3EETK05,Replacing broken/worn stock,2024-08-12T17:14:00,
443,2024-08-13,expense,18,28,,11,,,Agent commission — Wedding (2024-08-10),12000,M-Pesa,S9C4NVAXU0,10% commission on hire fee,2024-08-13T09:03:00,
444,2024-08-13,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SD1K9BO7VS,Day hire guard,2024-08-13T11:31:00,
445,2024-08-13,income,4,39,5,,53,,Egg sales — 1 trays,345,M-Pesa,SZEJA20R9J,,2024-08-13T13:35:00,101
446,2024-08-13,expense,19,19,,,,,"Kitchen provisions — tea, sugar, cooking oil, water",6000,M-Pesa,S5LFE47IW2,,2024-08-13T13:40:00,
447,2024-08-14,income,2,34,,12,,,Event deposit — Wellness Retreat (2024-08-24),35000,M-Pesa,S1SA6BXYEQ,50% deposit received,2024-08-14T17:27:00,102
448,2024-08-14,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-08-14T17:44:00,
449,2024-08-15,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SJPG1E8KP4,Day hire guard,2024-08-15T13:27:00,
450,2024-08-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-08,8552,M-Pesa,S6SIRFAJTQ,,2024-08-15T15:48:00,
451,2024-08-15,expense,9,11,,,,,Transport — supply run to town,1500,M-Pesa,SDE5A33892,,2024-08-15T16:44:00,
452,2024-08-16,income,4,41,5,,54,,Egg sales — 6 trays,2010,M-Pesa,S98JIYRHJK,,2024-08-16T09:27:00,103
453,2024-08-16,expense,13,44,,,,,Nairobi Water — water bill 2024-08,4612,M-Pesa,SFN85ELEOU,,2024-08-16T17:39:00,
454,2024-08-17,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-08-17T12:10:00,
455,2024-08-17,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-08-17T13:54:00,
456,2024-08-17,income,3,40,1,,,,Wellness service — meditation class,15000,Bank Transfer,BT6528420,,2024-08-17T15:42:00,104
457,2024-08-19,expense,26,,,,,,M-Pesa transaction charges,2500,Cash,,,2024-08-19T08:48:00,
458,2024-08-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),15889,M-Pesa,S8LUDARTN7,Biweekly feed purchase,2024-08-19T13:02:00,
459,2024-08-20,income,4,42,5,,55,,Egg sales — 8 trays,2760,M-Pesa,SBPWSKPRBB,,2024-08-20T12:52:00,106
460,2024-08-21,expense,15,3,4,,,,Hedge trimming,3500,M-Pesa,SAY9W5TSZE,Groundskeeper + occasional casual help,2024-08-21T11:05:00,
461,2024-08-21,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SWECHFJEKP,Day hire guard,2024-08-21T15:48:00,
462,2024-08-21,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",3500,M-Pesa,SDDD0ES95P,,2024-08-21T16:25:00,
463,2024-08-22,expense,21,,,12,,,"Event supplies — Wellness Retreat (flowers, decor, consumables)",5205,Cash,,,2024-08-22T15:50:00,
464,2024-08-22,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SYED6IREW9,Weekly clean,2024-08-22T17:51:00,
465,2024-08-23,expense,7,7,,12,,,Casual cleaning — pre-event deep clean,1500,M-Pesa,SVUJBFNN47,,2024-08-23T10:17:00,
466,2024-08-23,income,4,42,5,,56,,Egg sales — 7 trays,2345,M-Pesa,SVYPQFJOZO,,2024-08-23T15:27:00,108
467,2024-08-23,expense,6,6,,12,,,Casual security — event eve setup watch,1500,M-Pesa,SA499PYVEY,,2024-08-23T16:18:00,
468,2024-08-23,income,4,39,5,,57,,Egg sales — 1 trays,345,M-Pesa,SMBKAT0GV7,,2024-08-23T16:43:00,109
469,2024-08-24,income,2,34,,12,,,Event balance — Wellness Retreat,35000,M-Pesa,SBM5YM1O0N,Balance payment on event day,2024-08-24T08:22:00,110
470,2024-08-24,income,4,40,5,,58,,Egg sales — 3 trays,1020,M-Pesa,STMNV7XXWK,,2024-08-24T09:18:00,111
471,2024-08-24,expense,10,12,,12,,,Casual labour — event setup & assistance,1500,M-Pesa,SZN060AVA2,,2024-08-24T09:47:00,
472,2024-08-24,expense,15,3,4,,,,Garden weeding and mulching,3500,Cash,,Groundskeeper + occasional casual help,2024-08-24T11:01:00,
473,2024-08-24,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-08-24T12:09:00,
474,2024-08-24,expense,6,5,,12,,,Casual security — event day,1500,M-Pesa,SK0WF70KR0,,2024-08-24T13:20:00,
475,2024-08-25,expense,7,8,,12,,,Casual cleaning — post-event cleanup,1500,Cash,,,2024-08-25T13:11:00,
476,2024-08-25,expense,17,24,,,,,Accountant — quarterly books review,10000,M-Pesa,SCCLQPOURT,Veronica Njagi,2024-08-25T15:37:00,
477,2024-08-26,expense,17,26,,,,,Wellness consultant — programme planning,12000,M-Pesa,SRVQRGM3QP,Ochieng Kiptanui,2024-08-26T12:10:00,
478,2024-08-26,expense,15,3,4,,,,Garden weeding and mulching,5000,M-Pesa,S3TYPG6QTF,Groundskeeper + occasional casual help,2024-08-26T16:18:00,
479,2024-08-26,savings,28,1,,,,,Savings — Large Events Tent Fund set-aside (2024-08),10000,Bank Transfer,BT2240473,Monthly contribution to tent fund,2024-08-26T16:32:00,
480,2024-08-27,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-08-27T11:14:00,
481,2024-08-27,income,4,42,5,,59,,Egg sales — 5 trays,1650,M-Pesa,SOSN8FCXT2,,2024-08-27T14:59:00,113
482,2024-08-27,savings,27,1,,,,,Savings — Generator Fund set-aside (2024-08),12000,Bank Transfer,BT1750417,Monthly contribution to generator fund,2024-08-27T16:41:00,
483,2024-08-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-08,12000,Bank Transfer,BT6417449,Part-time monthly pay,2024-08-28T11:39:00,
484,2024-08-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-08,35000,Bank Transfer,BT4762809,Monthly salary,2024-08-28T11:54:00,
485,2024-08-28,income,2,42,,13,,,Event deposit — Garden Party (2024-09-07),20000,M-Pesa,SSV0AHR34C,50% deposit received,2024-08-28T14:57:00,114
486,2024-08-28,expense,9,11,,,,,Transport — feed delivery from supplier,1500,Cash,,,2024-08-28T16:01:00,
487,2024-08-30,income,4,42,5,,60,,Egg sales — 5 trays,1650,M-Pesa,SMZWZZUJ05,,2024-08-30T10:35:00,115
488,2024-09-02,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-09-02T10:03:00,
489,2024-09-02,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3000,M-Pesa,S8GZHMDL1Q,,2024-09-02T17:25:00,
490,2024-09-03,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-09-03T12:29:00,
491,2024-09-05,expense,6,6,,,,,Casual security — routine property watch,1500,M-Pesa,SYIKDGSNMA,Day hire guard,2024-09-05T12:48:00,
492,2024-09-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),13064,M-Pesa,S5POH8D1WG,Biweekly feed purchase,2024-09-05T14:57:00,
493,2024-09-05,expense,21,,,13,,,"Event supplies — Garden Party (flowers, decor, consumables)",4083,M-Pesa,S8M9RRASQA,,2024-09-05T15:14:00,
494,2024-09-06,income,4,41,5,,61,,Egg sales — 8 trays,2840,M-Pesa,SD04NVTWI4,,2024-09-06T08:05:00,116
495,2024-09-06,expense,7,7,,13,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-09-06T13:10:00,
496,2024-09-06,expense,6,4,,13,,,Casual security — event eve setup watch,1500,Cash,,,2024-09-06T14:59:00,
497,2024-09-06,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SH4FWI9ESS,Weekly clean,2024-09-06T16:05:00,
498,2024-09-07,expense,10,12,,13,,,Casual labour — event setup & assistance,1500,Cash,,,2024-09-07T09:14:00,
499,2024-09-07,expense,6,5,,13,,,Casual security — event day,1500,Cash,,,2024-09-07T11:44:00,
500,2024-09-07,income,2,42,,13,,,Event balance — Garden Party,20000,M-Pesa,S4TSW3A99A,Balance payment on event day,2024-09-07T12:05:00,117
501,2024-09-08,expense,7,8,,13,,,Casual cleaning — post-event cleanup,1500,M-Pesa,STOU2EMKIF,,2024-09-08T11:23:00,
502,2024-09-08,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,SD8XFM7NCH,Day hire guard,2024-09-08T15:16:00,
503,2024-09-09,expense,9,11,,,,,Transport — egg delivery to buyer,1500,Cash,,,2024-09-09T10:47:00,
504,2024-09-10,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-09-10T08:08:00,
505,2024-09-10,income,4,40,5,,62,,Egg sales — 1 trays,360,Cash,,,2024-09-10T14:02:00,120
506,2024-09-10,expense,22,15,,,,133,Inventory restock — Serving Dishes (Large),6400,Cash,,Replacing broken/worn stock,2024-09-10T16:11:00,
507,2024-09-11,expense,19,15,,,,,"Kitchen provisions — tea, sugar, cooking oil, water",6000,Cash,,,2024-09-11T08:58:00,
508,2024-09-11,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,S551XG2HNR,Weekly clean,2024-09-11T09:03:00,
509,2024-09-12,income,2,31,,14,,,Event deposit — Birthday Party (2024-09-21),22500,M-Pesa,S8DA1OC8U7,50% deposit received,2024-09-12T16:08:00,121
510,2024-09-13,income,4,39,5,,63,,Egg sales — 3 trays,1065,Cash,,,2024-09-13T08:32:00,122
511,2024-09-13,expense,19,17,,,,,"General provisions — toilet paper, bin bags, soap",2500,Cash,,,2024-09-13T08:55:00,
512,2024-09-14,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SZBE1RPDTK,Day hire guard,2024-09-14T11:06:00,
513,2024-09-14,income,3,40,1,,,,Wellness service — yoga session,12000,Bank Transfer,BT3496219,,2024-09-14T11:35:00,123
514,2024-09-14,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-09-14T12:15:00,
515,2024-09-15,expense,12,23,5,,,,Vet visit — flock health check,10000,M-Pesa,SVP13QPBE0,Dr. Odhiambo,2024-09-15T15:30:00,
516,2024-09-15,expense,14,43,,,,,Kenya Power — electricity bill 2024-09,7244,M-Pesa,S35TUUHK91,,2024-09-15T16:53:00,
517,2024-09-16,expense,13,44,,,,,Nairobi Water — water bill 2024-09,2980,M-Pesa,S30NCDQDKX,,2024-09-16T13:19:00,
518,2024-09-16,expense,26,,,,,,Printing and stationery,800,M-Pesa,ST3DUV6S3O,,2024-09-16T14:37:00,
519,2024-09-17,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-09-17T08:28:00,
520,2024-09-17,income,4,42,5,,64,,Egg sales — 4 trays,1360,Cash,,,2024-09-17T14:05:00,125
521,2024-09-17,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SJFUONSHKC,Weekly clean,2024-09-17T17:15:00,
522,2024-09-18,expense,21,,,14,,,"Event supplies — Birthday Party (flowers, decor, consumables)",5867,M-Pesa,S6EWC7TGYF,,2024-09-18T12:53:00,
523,2024-09-19,expense,11,14,5,,,,Chicken feed — layers mash (250kg),15442,M-Pesa,SZ00H44VBS,Biweekly feed purchase,2024-09-19T14:50:00,
524,2024-09-20,income,4,40,5,,65,,Egg sales — 3 trays,1080,Cash,,,2024-09-20T08:03:00,126
525,2024-09-20,expense,7,7,,14,,,Casual cleaning — pre-event deep clean,1500,M-Pesa,S9FMDC97ZD,,2024-09-20T08:53:00,
526,2024-09-20,expense,20,23,,,,,Dog grooming and vet checkup — Simba & Zuri,3000,M-Pesa,SFFNH7ZNU4,Quarterly checkup,2024-09-20T09:34:00,
527,2024-09-20,expense,6,5,,14,,,Casual security — event eve setup watch,1500,Cash,,,2024-09-20T09:37:00,
528,2024-09-20,expense,10,12,,14,,,Casual labour — event setup,1500,M-Pesa,SV77NTF116,"Setting up chairs, tables, decor",2024-09-20T16:54:00,
529,2024-09-21,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SGPJZOH8JV,Weekly clean,2024-09-21T08:48:00,
530,2024-09-21,expense,6,5,,,,,Casual security — routine property watch,1500,M-Pesa,S02KU758MN,Day hire guard,2024-09-21T10:04:00,
531,2024-09-21,income,2,31,,14,,,Event balance — Birthday Party,22500,Bank Transfer,BT9948135,Balance payment on event day,2024-09-21T10:33:00,127
532,2024-09-21,expense,6,5,,14,,,Casual security — event day,1500,Cash,,,2024-09-21T11:11:00,
533,2024-09-21,expense,10,13,,14,,,Casual labour — event day assistance,1500,M-Pesa,SD5CANIJN8,"Serving, logistics, teardown",2024-09-21T14:58:00,
534,2024-09-22,expense,7,7,,14,,,Casual cleaning — post-event cleanup,1500,Cash,,,2024-09-22T13:54:00,
535,2024-09-23,expense,9,11,,,,,Transport — egg delivery to buyer,1500,M-Pesa,SFWW8I7327,,2024-09-23T10:06:00,
536,2024-09-23,expense,15,3,4,,,,Hedge trimming,2000,Cash,,Groundskeeper + occasional casual help,2024-09-23T15:23:00,
537,2024-09-24,income,4,42,5,,66,,Egg sales — 5 trays,1800,M-Pesa,S9HZA7W0YC,,2024-09-24T13:07:00,131
538,2024-09-25,savings,27,1,,,,,Savings — Generator Fund set-aside (2024-09),12000,Bank Transfer,BT5722040,Monthly contribution to generator fund,2024-09-25T13:46:00,
539,2024-09-25,expense,6,5,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-09-25T15:59:00,
540,2024-09-25,income,2,36,,15,,,Event deposit — Wedding (2024-10-05),65000,M-Pesa,SINBKH8B0W,50% deposit received,2024-09-25T16:04:00,132
541,2024-09-26,expense,15,3,4,,,,Lawn mowing and trimming,2000,M-Pesa,S84K0SPUPD,Groundskeeper + occasional casual help,2024-09-26T08:11:00,
542,2024-09-27,income,4,41,5,,67,,Egg sales — 6 trays,2130,M-Pesa,SY62ZH1EU8,,2024-09-27T08:13:00,133
543,2024-09-27,savings,28,1,,,,,Savings — Large Events Tent Fund set-aside (2024-09),12000,Bank Transfer,BT4099734,Monthly contribution to tent fund,2024-09-27T10:38:00,
544,2024-09-28,expense,22,15,,,,141,Inventory restock — Drinking Glasses,840,Cash,,Replacing broken/worn stock,2024-09-28T08:41:00,
545,2024-09-28,income,2,37,,16,,,Event deposit — Corporate Retreat (2024-10-12),32500,Bank Transfer,BT9579632,50% deposit received,2024-09-28T11:45:00,134
546,2024-09-28,expense,5,3,4,,,,Salary — Ogola Muriuki (Groundskeeper) — 2024-09,12000,Bank Transfer,BT9766462,Part-time monthly pay,2024-09-28T14:29:00,
547,2024-09-28,expense,22,22,,,,138,Inventory restock — Cloth Napkins (White),600,M-Pesa,SYI6DT08LU,Replacing broken/worn stock,2024-09-28T15:33:00,
548,2024-09-28,expense,5,2,2,,,,Salary — Njoki Gachanja (Manager) — 2024-09,35000,Bank Transfer,BT8179128,Monthly salary,2024-09-28T16:17:00,
549,2024-09-28,expense,22,17,,,,139,Inventory restock — Mops (Cotton),1050,M-Pesa,S21XTIZ432,Replacing broken/worn stock,2024-09-28T16:48:00,
550,2024-09-28,expense,22,17,,,,140,Inventory restock — Spray Bottles,750,Cash,,Replacing broken/worn stock,2024-09-28T17:08:00,
551,2024-10-01,income,4,42,5,,69,,Egg sales — 4 trays,1400,M-Pesa,SC5CWWXHYX,,2024-10-01T11:14:00,135
552,2024-10-01,expense,20,,,,,,Dog food — Simba & Zuri (monthly),3500,M-Pesa,S3XOO8FTXP,,2024-10-01T13:59:00,
553,2024-10-01,income,4,42,5,,68,,Egg sales — 8 trays,2880,M-Pesa,SIOYCI1NWV,,2024-10-01T14:34:00,136
554,2024-10-02,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-10-02T16:51:00,
555,2024-10-03,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,Cash,,Weekly clean,2024-10-03T10:34:00,
556,2024-10-04,expense,9,11,,15,,,Casual transport — event equipment/supply delivery,1500,Cash,,,2024-10-04T08:31:00,
557,2024-10-04,income,4,39,5,,70,,Egg sales — 1 trays,355,M-Pesa,S4A06AOKQX,,2024-10-04T11:22:00,137
558,2024-10-04,expense,21,,,15,,,"Event supplies — Wedding (flowers, decor, consumables)",17813,M-Pesa,SLRDLC8PUE,,2024-10-04T12:19:00,
559,2024-10-04,expense,10,12,,15,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-10-04T12:38:00,
560,2024-10-04,expense,7,7,,15,,,Casual cleaning — pre-event deep clean,1500,M-Pesa,S3FFVPM08C,,2024-10-04T14:56:00,
561,2024-10-04,expense,6,4,,15,,,Casual security — event eve setup watch,1500,Cash,,,2024-10-04T15:05:00,
562,2024-10-04,expense,10,12,,15,,,Casual labour — event setup,1500,Cash,,"Setting up chairs, tables, decor",2024-10-04T16:33:00,
563,2024-10-05,expense,10,13,,15,,,Casual labour — event day assistance,1500,Cash,,"Serving, logistics, teardown",2024-10-05T09:14:00,
564,2024-10-05,income,2,36,,15,,,Event balance — Wedding,65000,Bank Transfer,BT9028228,Balance payment on event day,2024-10-05T09:44:00,138
565,2024-10-05,expense,10,12,,15,,,Casual labour — event day assistance,1500,M-Pesa,S9KNNCTM5P,"Serving, logistics, teardown",2024-10-05T11:58:00,
566,2024-10-05,expense,6,6,,15,,,Casual security — event day,1500,M-Pesa,S808QXPPVV,,2024-10-05T13:13:00,
567,2024-10-05,expense,11,14,5,,,,Chicken feed — layers mash (250kg),15862,M-Pesa,SY9F8CB1PA,Biweekly feed purchase,2024-10-05T17:32:00,
568,2024-10-06,expense,7,8,,15,,,Casual cleaning — post-event cleanup,1500,M-Pesa,SHHAFFFI9E,,2024-10-06T10:43:00,
569,2024-10-06,expense,6,4,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-10-06T13:38:00,
570,2024-10-06,expense,26,,,,,,M-Pesa transaction charges,800,Cash,,,2024-10-06T14:31:00,
571,2024-10-06,expense,7,7,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SRCNA1DG2L,Weekly clean,2024-10-06T16:43:00,
572,2024-10-06,expense,18,29,,15,,,Agent commission — Wedding (2024-10-05),13000,M-Pesa,SSHZ43Q66B,10% commission on hire fee,2024-10-06T16:56:00,
573,2024-10-07,expense,9,11,,,,,Transport — egg delivery to buyer,1500,Cash,,,2024-10-07T10:44:00,
574,2024-10-08,expense,6,4,,,,,Casual security — routine property watch,1500,M-Pesa,SREX5NRGPL,Day hire guard,2024-10-08T13:17:00,
575,2024-10-09,expense,21,,,16,,,"Event supplies — Corporate Retreat (flowers, decor, consumables)",6208,Cash,,,2024-10-09T15:19:00,
576,2024-10-10,expense,6,6,,,,,Casual security — routine property watch,1500,Cash,,Day hire guard,2024-10-10T12:28:00,
577,2024-10-11,expense,9,11,,,,,Transport — egg delivery to buyer,1500,Cash,,,2024-10-11T09:32:00,
578,2024-10-11,expense,7,8,,16,,,Casual cleaning — pre-event deep clean,1500,Cash,,,2024-10-11T10:48:00,
579,2024-10-11,expense,6,5,,16,,,Casual security — event eve setup watch,1500,M-Pesa,SV1KH75TM1,,2024-10-11T15:15:00,
580,2024-10-11,expense,7,8,,,,,Casual cleaning — routine housekeeping,1500,M-Pesa,SQ8GU1DGMH,Weekly clean,2024-10-11T15:15:00,
